[2025-05-05 12:43:12] Consulta ejecutada: INSERT INTO existencias (cantidadExistencia, fechaExistencia, fkCodigoArticulo) VALUES ('116','2025-03-24','2407404')
[2025-05-05 12:43:12] Consulta ejecutada: INSERT INTO existencias (cantidadExistencia, fechaExistencia, fkCodigoArticulo) VALUES ('0','2025-03-24','2407525')
[2025-05-05 12:43:12] Consulta ejecutada: INSERT INTO existencias (cantidadExistencia, fechaExistencia, fkCodigoArticulo) VALUES ('0','2025-03-24','2407578')
[2025-05-05 12:43:12] Consulta ejecutada: INSERT INTO existencias (cantidadExistencia, fechaExistencia, fkCodigoArticulo) VALUES ('172','2025-03-24','2407574')
[2025-05-05 12:43:12] Consulta ejecutada: INSERT INTO existencias (cantidadExistencia, fechaExistencia, fkCodigoArticulo) VALUES ('0','2025-03-24','2407580')
[2025-05-05 12:43:12] Consulta ejecutada: INSERT INTO existencias (cantidadExistencia, fechaExistencia, fkCodigoArticulo) VALUES ('0','2025-03-24','2407015')
[2025-05-05 12:43:12] Consulta ejecutada: INSERT INTO existencias (cantidadExistencia, fechaExistencia, fkCodigoArticulo) VALUES ('0','2025-03-24','2407584')
[2025-05-05 12:43:12] Consulta ejecutada: INSERT INTO existencias (cantidadExistencia, fechaExistencia, fkCodigoArticulo) VALUES ('0','2025-03-24','2407586')
[2025-05-05 12:43:12] Consulta ejecutada: INSERT INTO existencias (cantidadExistencia, fechaExistencia, fkCodigoArticulo) VALUES ('0','2025-03-24','2407534')
[2025-05-05 12:43:12] Consulta ejecutada: INSERT INTO existencias (cantidadExistencia, fechaExistencia, fkCodigoArticulo) VALUES ('0','2025-03-24','2407579')
[2025-05-05 12:43:12] Consulta ejecutada: INSERT INTO existencias (cantidadExistencia, fechaExistencia, fkCodigoArticulo) VALUES ('28','2025-03-24','2407577')
[2025-05-05 12:43:12] Consulta ejecutada: INSERT INTO existencias (cantidadExistencia, fechaExistencia, fkCodigoArticulo) VALUES ('52','2025-03-24','2407406')
[2025-05-05 12:43:12] Consulta ejecutada: INSERT INTO existencias (cantidadExistencia, fechaExistencia, fkCodigoArticulo) VALUES ('128','2025-03-24','2407407')
[2025-05-05 12:43:12] Consulta ejecutada: INSERT INTO existencias (cantidadExistencia, fechaExistencia, fkCodigoArticulo) VALUES ('0','2025-03-24','2407590')
